State Code,County Code,Latitude,Longitude,Date Local,CO Units,CO Mean,State Name,County Name,City Name,NO2 Units,NO2 Mean,Ozone Units,Ozone Mean,SO2 Units,SO2 Mean,AQI
06,021,39.51766,-122.191371,2000-01-01,NA,NA,California,Glenn,Willows,NA,NA,Parts per million,0.031305934020618556,NA,NA,15.666666666666666
12,023,30.178055999999998,-82.61916699999999,2000-10-31,NA,NA,Florida,Columbia,Lake City,NA,NA,Parts per million,0.034383450712957224,NA,NA,21
04,025,34.42888,-112.961944,2000-01-01,NA,NA,Arizona,Yavapai,Hillside,NA,NA,Parts per million,0.031951634024896265,NA,NA,24
01,027,33.284928,-85.803608,2000-03-01,NA,NA,Alabama,Clay,Ashland,NA,NA,Parts per million,0.03438429463364293,NA,NA,40
06,033,39.0327,-122.92229,2000-01-01,NA,NA,California,Lake,Lakeport,NA,NA,Parts per million,0.03115233050982899,NA,NA,19.666666666666668
05,035,35.197288,-90.193141,2000-01-01,NA,NA,Arkansas,Crittenden,Marion,NA,NA,Parts per million,0.03583394510638298,NA,NA,47
51,036,37.34438,-77.25925,2000-03-31,NA,NA,Virginia,Charles,Not in a city,NA,NA,Parts per million,0.034173818604651164,NA,NA,28.666666666666668
06,043,37.713249999999995,-119.70620000000001,2000-01-01,NA,NA,California,Mariposa,Not in a city,NA,NA,Parts per million,0.033410508108108104,NA,NA,28.333333333333332
01,049,34.289001,-85.97006499999999,2000-01-01,NA,NA,Alabama,DeKalb,Crossville,NA,NA,Parts per million,0.03550878152424942,NA,NA,28.333333333333332
01,051,32.498567,-86.13658699999999,2000-02-29,NA,NA,Alabama,Elmore,Wetumpka,NA,NA,Parts per million,0.03783296929824561,NA,NA,19.333333333333332
06,053,36.48187,-121.73333,2000-01-01,NA,NA,California,Monterey,Carmel Valley Village,NA,NA,Parts per million,0.02672896697118763,NA,NA,18
06,057,39.233477,-121.055608,2000-01-24,NA,NA,California,Nevada,Grass Valley,NA,NA,Parts per million,0.033521855175579526,NA,NA,24.666666666666668
