State Code,County Code,CO Units,CO Mean,State Name,County Name,City Name,NO2 Units,NO2 Mean,Ozone Units,Ozone Mean,SO2 Units,SO2 Mean,lat,lon,AQI
20,091,Parts per million,1.2250903359809373,Kansas,Johnson,Overland Park,NA,NA,NA,NA,NA,NA,38.8534795,-94.76273799999998,84
42,091,NA,NA,Pennsylvania,Montgomery,Norristown,Parts per billion,28.650729416988415,NA,NA,NA,NA,40.112221999999996,-75.309167,54
21,093,NA,NA,Kentucky,Hardin,Not in a city,Parts per billion,18.53039544680851,Parts per million,0.02247007864302236,NA,NA,37.757563,-85.72051599999999,27.5
29,093,NA,NA,Missouri,Iron,Not in a city,NA,NA,NA,NA,Parts per billion,11.535363111754966,37.658080999999996,-91.115594,14
36,093,Parts per million,1.7598710398162327,New York,Schenectady,Schenectady,NA,NA,NA,NA,NA,NA,42.799009999999996,-73.9389,NaN
06,095,Parts per million,1.235405689047619,California,Solano,Vallejo,Parts per billion,19.553106040789473,NA,NA,NA,NA,38.133382999999995,-122.14589166666667,22.333333333333332
01,097,NA,NA,Alabama,Mobile,Not in a city,NA,NA,Parts per million,0.02141116176470588,NA,NA,30.63065,-88.091295,9.5
06,097,Parts per million,2.0044551803579624,California,Sonoma,Santa Rosa,Parts per billion,27.50755271016692,NA,NA,NA,NA,38.442412,-122.71359799999999,19
01,099,NA,NA,Alabama,Monroe,Monroeville,NA,NA,Parts per million,0.024212815167682925,NA,NA,31.487662999999998,-87.327207,42
06,099,Parts per million,1.3736839935088352,California,Stanislaus,Modesto,Parts per billion,31.629906405462183,NA,NA,Parts per billion,6.802437540915733,37.640763,-120.99937800000001,19
06,101,NA,NA,California,Sutter,Yuba City,NA,NA,Parts per million,0.018832691114245414,NA,NA,39.122113999999996,-121.60441,0
08,101,Parts per million,1.164480882382892,Colorado,Pueblo,Pueblo,NA,NA,NA,NA,NA,NA,38.266391999999996,-104.61053,NaN
21,101,NA,NA,Kentucky,Henderson,Henderson,Parts per billion,35.276876387530564,NA,NA,Parts per billion,14.54108781559694,37.856154,-87.575290999999993,49.5
01,103,NA,NA,Alabama,Morgan,Decatur,Parts per billion,22.199810994459835,Parts per million,0.026324383486238532,Parts per billion,7.013686159596423,34.619814,-86.997509,66.33333333333333
